"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
"State  Code","District Code","Sub District Code","India/ State/ Union Territory/ District/ Sub-district",Name,"Total/
Rural/
Urban","Number of villages",,"Number of towns","Number of households",Population,,,"Area
 (In sq. km)","Population per sq. km."
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
02,023,00092,SUB-DISTRICT,Brahmaur,Rural,50,62,0,5142,25014,12873,12141,945.01318635648943,26
02,023,00092,SUB-DISTRICT,Brahmaur,Urban,0,0,0,0,0,0,0,0,0
02,024,00000,DISTRICT,Kangra,Total,3617,252,9,338887,1510075,750591,759484,5739.0000807970609,263
02,024,00000,DISTRICT,Kangra,Rural,3617,252,0,318379,1423794,705365,718429,5691.3400807970611,250
02,024,00000,DISTRICT,Kangra,Urban,0,0,9,20508,86281,45226,41055,47.66,1810
02,024,00093,SUB-DISTRICT,Nurpur,Total,392,27,1,37267,176525,90074,86451,540.42218024744955,327
02,024,00093,SUB-DISTRICT,Nurpur,Rural,392,27,0,35130,166718,84969,81749,535.67218024744955,311
02,024,00093,SUB-DISTRICT,Nurpur,Urban,0,0,1,2137,9807,5105,4702,4.75,2065
02,024,00094,SUB-DISTRICT,Indora,Total,112,4,1,16720,81226,42226,39000,298.12916541036685,272
02,024,00094,SUB-DISTRICT,Indora,Rural,112,4,0,15716,76692,39901,36791,288.80916541036686,266
02,024,00094,SUB-DISTRICT,Indora,Urban,0,0,1,1004,4534,2325,2209,9.32,486
02,024,00095,SUB-DISTRICT,Fatehpur,Total,223,19,0,13185,62041,31105,30936,305.9878131087973,203
02,024,00095,SUB-DISTRICT,Fatehpur,Rural,223,19,0,13185,62041,31105,30936,305.9878131087973,203
02,024,00095,SUB-DISTRICT,Fatehpur,Urban,0,0,0,0,0,0,0,0,0
02,024,00096,SUB-DISTRICT,Jawali,Total,195,18,0,24532,112746,56022,56724,295.64212255898286,381
02,024,00096,SUB-DISTRICT,Jawali,Rural,195,18,0,24532,112746,56022,56724,295.64212255898286,381
02,024,00096,SUB-DISTRICT,Jawali,Urban,0,0,0,0,0,0,0,0,0
02,024,00097,SUB-DISTRICT,Harchakian,Total,60,2,0,3125,13841,6746,7095,72.185399481562371,192
02,024,00097,SUB-DISTRICT,Harchakian,Rural,60,2,0,3125,13841,6746,7095,72.185399481562371,192
02,024,00097,SUB-DISTRICT,Harchakian,Urban,0,0,0,0,0,0,0,0,0
02,024,00098,SUB-DISTRICT,Shahpur,Total,152,8,0,15082,67758,33220,34538,244.60678011275542,277
02,024,00098,SUB-DISTRICT,Shahpur,Rural,152,8,0,15082,67758,33220,34538,244.60678011275542,277
02,024,00098,SUB-DISTRICT,Shahpur,Urban,0,0,0,0,0,0,0,0,0
02,024,00099,SUB-DISTRICT,Dharmsala,Total,151,13,2,31328,136536,70178,66358,337.66703106822905,404
02,024,00099,SUB-DISTRICT,Dharmsala,Rural,151,13,0,20798,93744,47329,46415,319.19703106822908,294
02,024,00099,SUB-DISTRICT,Dharmsala,Urban,0,0,2,10530,42792,22849,19943,18.47,2317
02,024,00100,SUB-DISTRICT,Kangra,Total,161,14,1,21432,97568,49194,48374,180.62658348104588,540
02,024,00100,SUB-DISTRICT,Kangra,Rural,161,14,0,19182,88040,44302,43738,177.50658348104588,496
02,024,00100,SUB-DISTRICT,Kangra,Urban,0,0,1,2250,9528,4892,4636,3.12,3054
02,024,00101,SUB-DISTRICT,"Nagrota Bagwan",Total,157,18,1,17068,76899,38347,38552,95.017268281152852,809
02,024,00101,SUB-DISTRICT,"Nagrota Bagwan",Rural,157,18,0,15658,70999,35346,35653,91.477268281152845,776
02,024,00101,SUB-DISTRICT,"Nagrota Bagwan",Urban,0,0,1,1410,5900,3001,2899,3.54,1667
02,024,00102,SUB-DISTRICT,Baroh,Total,161,8,0,5725,25789,12403,13386,133.99453001759659,192
02,024,00102,SUB-DISTRICT,Baroh,Rural,161,8,0,5725,25789,12403,13386,133.99453001759659,192
02,024,00102,SUB-DISTRICT,Baroh,Urban,0,0,0,0,0,0,0,0,0
02,024,00103,SUB-DISTRICT,"Dera Gopipur",Total,282,23,1,27654,120783,58552,62231,610.64036960476142,198
02,024,00103,SUB-DISTRICT,"Dera Gopipur",Rural,282,23,0,26503,115967,56094,59873,607.37036960476144,191
02,024,00103,SUB-DISTRICT,"Dera Gopipur",Urban,0,0,1,1151,4816,2458,2358,3.27,1473
02,024,00104,SUB-DISTRICT,Jawalamukhi,Total,122,12,1,9740,43504,21186,22318,103.61999027528425,420
02,024,00104,SUB-DISTRICT,Jawalamukhi,Rural,122,12,0,8556,38143,18404,19739,99.099990275284256,385
02,024,00104,SUB-DISTRICT,Jawalamukhi,Urban,0,0,1,1184,5361,2782,2579,4.5199999999999996,1186
02,024,00105,SUB-DISTRICT,Jaswan,Total,86,14,0,7486,32520,15907,16613,181.0750666181807,180
02,024,00105,SUB-DISTRICT,Jaswan,Rural,86,14,0,7486,32520,15907,16613,181.0750666181807,180
02,024,00105,SUB-DISTRICT,Jaswan,Urban,0,0,0,0,0,0,0,0,0
02,024,00106,SUB-DISTRICT,Rakkar,Total,103,13,0,6765,29503,14451,15052,114.48551355223222,258
02,024,00106,SUB-DISTRICT,Rakkar,Rural,103,13,0,6765,29503,14451,15052,114.48551355223222,258
02,024,00106,SUB-DISTRICT,Rakkar,Urban,0,0,0,0,0,0,0,0,0
02,024,00107,SUB-DISTRICT,Khundian,Total,216,13,0,8268,38231,18607,19624,190.7072612680079,200
02,024,00107,SUB-DISTRICT,Khundian,Rural,216,13,0,8268,38231,18607,19624,190.7072612680079,200
02,024,00107,SUB-DISTRICT,Khundian,Urban,0,0,0,0,0,0,0,0,0
02,024,00108,SUB-DISTRICT,Thural,Total,84,7,0,4658,19287,9034,10253,57.681047114679686,334
02,024,00108,SUB-DISTRICT,Thural,Rural,84,7,0,4658,19287,9034,10253,57.681047114679686,334
02,024,00108,SUB-DISTRICT,Thural,Urban,0,0,0,0,0,0,0,0,0
02,024,00109,SUB-DISTRICT,Dhira,Total,113,2,0,5298,22119,10498,11621,81.185640619972375,272
02,024,00109,SUB-DISTRICT,Dhira,Rural,113,2,0,5298,22119,10498,11621,81.185640619972375,272
02,024,00109,SUB-DISTRICT,Dhira,Urban,0,0,0,0,0,0,0,0,0
02,024,00110,SUB-DISTRICT,Jaisinghpur,Total,218,4,0,15393,61082,27938,33144,191.00285242657404,320
02,024,00110,SUB-DISTRICT,Jaisinghpur,Rural,218,4,0,15393,61082,27938,33144,191.00285242657404,320
02,024,00110,SUB-DISTRICT,Jaisinghpur,Urban,0,0,0,0,0,0,0,0,0
02,024,00111,SUB-DISTRICT,Palampur,Total,395,14,1,44501,189276,93807,95469,429.29009742515711,441
02,024,00111,SUB-DISTRICT,Palampur,Rural,395,14,0,43659,185733,91993,93740,428.6200974251571,433
02,024,00111,SUB-DISTRICT,Palampur,Urban,0,0,1,842,3543,1814,1729,0.67,5288
02,024,00112,SUB-DISTRICT,Baijnath,Total,200,4,0,22112,95229,47175,48054,296.03964170326145,322
02,024,00112,SUB-DISTRICT,Baijnath,Rural,200,4,0,22112,95229,47175,48054,296.03964170326145,322
02,024,00112,SUB-DISTRICT,Baijnath,Urban,0,0,0,0,0,0,0,0,0
02,024,00113,SUB-DISTRICT,Multhan,Total,34,15,0,1548,7612,3921,3691,978.99791717101152,8
02,024,00113,SUB-DISTRICT,Multhan,Rural,34,15,0,1548,7612,3921,3691,978.99791717101152,8
02,024,00113,SUB-DISTRICT,Multhan,Urban,0,0,0,0,0,0,0,0,0
