yeat,temperature,uncertainity,state,country,lang,lat
1816/06/01,27.349,1.91,Bombay,India,18.48N,72.68E
1816/07/01,25.088,1.751,Bombay,India,18.48N,72.68E
1816/08/01,25.195,1.149,Bombay,India,18.48N,72.68E
1816/09/01,25.243000000000002,1.178,Bombay,India,18.48N,72.68E
1816/10/01,24.881,5.092,Bombay,India,18.48N,72.68E
1816/11/01,26.04,5.807,Bombay,India,18.48N,72.68E
1816/12/01,24.26,1.767,Bombay,India,18.48N,72.68E
1817/01/01,23.094,4.185,Bombay,India,18.48N,72.68E
1817/02/01,23.845,2.668,Bombay,India,18.48N,72.68E
1817/03/01,24.899,1.98,Bombay,India,18.48N,72.68E
1817/04/01,26.781,1.905,Bombay,India,18.48N,72.68E
1817/05/01,27.455,2.172,Bombay,India,18.48N,72.68E
1817/06/01,26.575000000000006,1.71,Bombay,India,18.48N,72.68E
1817/07/01,25.729,1.751,Bombay,India,18.48N,72.68E
1817/08/01,26.248,1.7009999999999998,Bombay,India,18.48N,72.68E
1817/09/01,24.385,2.291,Bombay,India,18.48N,72.68E
1817/10/01,25.272,2.549,Bombay,India,18.48N,72.68E
1817/11/01,26.026,2.261,Bombay,India,18.48N,72.68E
1817/12/01,23.875999999999998,2.992,Bombay,India,18.48N,72.68E
1818/01/01,23.447000000000006,3.065,Bombay,India,18.48N,72.68E
1818/02/01,22.755,2.157,Bombay,India,18.48N,72.68E
1818/03/01,25.419,1.902,Bombay,India,18.48N,72.68E
1818/04/01,28.035,4.713,Bombay,India,18.48N,72.68E
1818/05/01,29.263,2.714,Bombay,India,18.48N,72.68E
1818/06/01,28.62,3.571,Bombay,India,18.48N,72.68E
1818/07/01,25.401999999999997,2.974,Bombay,India,18.48N,72.68E
1818/08/01,24.999000000000002,2.144,Bombay,India,18.48N,72.68E
1818/09/01,25.606,1.971,Bombay,India,18.48N,72.68E
1818/10/01,25.516,2.026,Bombay,India,18.48N,72.68E
1818/11/01,26.404,4.507,Bombay,India,18.48N,72.68E
1818/12/01,24.73,1.739,Bombay,India,18.48N,72.68E
1819/01/01,21.976999999999997,2.438,Bombay,India,18.48N,72.68E
1819/02/01,22.49,2.942,Bombay,India,18.48N,72.68E
1819/03/01,23.7,5.485,Bombay,India,18.48N,72.68E
1819/04/01,26.14,1.5319999999999998,Bombay,India,18.48N,72.68E
1819/05/01,27.809,1.132,Bombay,India,18.48N,72.68E
1819/06/01,27.826999999999998,1.821,Bombay,India,18.48N,72.68E
1819/07/01,26.03,1.211,Bombay,India,18.48N,72.68E
1819/08/01,25.808000000000003,1.768,Bombay,India,18.48N,72.68E
1819/09/01,25.928,1.016,Bombay,India,18.48N,72.68E
1819/10/01,27.071,1.763,Bombay,India,18.48N,72.68E
1819/11/01,26.985,1.509,Bombay,India,18.48N,72.68E
1819/12/01,24.625,1.596,Bombay,India,18.48N,72.68E
1820/01/01,22.249,4.312,Bombay,India,18.48N,72.68E
1820/02/01,22.773000000000003,1.648,Bombay,India,18.48N,72.68E
1820/03/01,24.601,1.686,Bombay,India,18.48N,72.68E
1820/04/01,27.778,1.211,Bombay,India,18.48N,72.68E
1820/05/01,28.03,1.584,Bombay,India,18.48N,72.68E
1820/06/01,27.680999999999997,1.4580000000000002,Bombay,India,18.48N,72.68E
1820/07/01,26.069000000000003,2.25,Bombay,India,18.48N,72.68E
1820/08/01,25.177,2.305,Bombay,India,18.48N,72.68E
1820/09/01,26.111,1.719,Bombay,India,18.48N,72.68E
1820/10/01,26.426,1.394,Bombay,India,18.48N,72.68E
1820/11/01,26.456,1.675,Bombay,India,18.48N,72.68E
1820/12/01,24.519000000000002,2.27,Bombay,India,18.48N,72.68E
1821/01/01,24.767,2.685,Bombay,India,18.48N,72.68E
1821/02/01,24.588,3.343,Bombay,India,18.48N,72.68E
1821/03/01,26.000999999999998,1.872,Bombay,India,18.48N,72.68E
1821/04/01,26.101999999999997,1.749,Bombay,India,18.48N,72.68E
1821/05/01,28.62,1.628,Bombay,India,18.48N,72.68E
1821/06/01,27.651999999999997,2.464,Bombay,India,18.48N,72.68E
1821/07/01,26.136,1.731,Bombay,India,18.48N,72.68E
1821/08/01,26.195,1.612,Bombay,India,18.48N,72.68E
1821/09/01,25.421999999999997,1.345,Bombay,India,18.48N,72.68E
1821/10/01,26.717,1.248,Bombay,India,18.48N,72.68E
1821/11/01,27.224,2.317,Bombay,India,18.48N,72.68E
1821/12/01,25.291999999999998,1.595,Bombay,India,18.48N,72.68E
1822/01/01,24.45,2.883,Bombay,India,18.48N,72.68E
1822/02/01,25.188000000000002,2.152,Bombay,India,18.48N,72.68E
1822/03/01,27.393,1.902,Bombay,India,18.48N,72.68E
1822/04/01,27.101999999999997,1.415,Bombay,India,18.48N,72.68E
1822/05/01,28.405,1.391,Bombay,India,18.48N,72.68E
1822/06/01,27.761999999999997,1.503,Bombay,India,18.48N,72.68E
1822/07/01,26.726,1.145,Bombay,India,18.48N,72.68E
1822/08/01,25.494,2.072,Bombay,India,18.48N,72.68E
1822/09/01,25.638,1.604,Bombay,India,18.48N,72.68E
1822/10/01,26.085,1.255,Bombay,India,18.48N,72.68E
1822/11/01,26.201,1.727,Bombay,India,18.48N,72.68E
1822/12/01,24.381999999999998,2.411,Bombay,India,18.48N,72.68E
1823/01/01,24.089,1.655,Bombay,India,18.48N,72.68E
1823/02/01,23.791999999999998,2.4090000000000003,Bombay,India,18.48N,72.68E
1823/03/01,25.456999999999997,1.6469999999999998,Bombay,India,18.48N,72.68E
1823/04/01,27.294,2.346,Bombay,India,18.48N,72.68E
1823/05/01,28.441000000000006,1.4280000000000002,Bombay,India,18.48N,72.68E
1823/06/01,28.883000000000006,2.053,Bombay,India,18.48N,72.68E
1823/07/01,27.093000000000004,1.356,Bombay,India,18.48N,72.68E
1823/08/01,25.788,1.325,Bombay,India,18.48N,72.68E
1823/09/01,25.125,1.245,Bombay,India,18.48N,72.68E
1823/10/01,26.667,1.749,Bombay,India,18.48N,72.68E
